Identifier,Favourite,Understood_Python
1,Python,Yes
2,Python,No
3,Python,No
4,Python,No
5,Python,No
6,Python,No
7,Python,No
8,Python,No
9,R,No
10,R,No
11,Python,Yes
12,R,No
13,R,No
14,Python,No
15,R,No
16,R,No
17,Python,Yes
18,Python,Yes
19,Python,No
20,Python,Yes
21,Python,No
22,Python,No
23,Python,Yes
24,Python,No
25,Python,No
26,Python,No
27,R,No
28,Python,No
29,R,No
30,R,No
31,Python,Yes
32,Python,No
33,Python,Yes
34,Python,No
35,Python,No
36,Python,No
37,Python,No
38,Python,Yes
39,Python,Yes
40,Python,No
41,R,No
42,R,No
43,Python,No
44,Python,No
45,Python,No
46,Python,No
47,Python,Yes
48,Python,No
49,Python,No
50,Python,No
51,Python,No
52,Python,No
53,Python,No
54,Python,No
55,Python,Yes
56,Python,No
57,Python,No
58,Python,No
59,R,No
60,Python,No
61,R,No
62,Python,Yes
63,Python,Yes
64,R,No
65,Python,Yes
66,R,No
67,Python,No
68,Python,No
69,Python,No
70,Python,No
71,R,No
72,R,No
73,Python,No
74,Python,No
75,Python,Yes
76,Python,Yes
77,Python,No
78,Python,No
79,Python,No
80,Python,No
81,Python,No
82,Python,No
83,Python,No
84,Python,No
85,Python,No
86,Python,No
87,Python,No
88,Python,No
89,Python,No
90,R,No
91,Python,Yes
92,Python,No
93,Python,Yes
94,Python,No
95,Python,Yes
96,Python,No
97,Python,No
98,Python,No
99,Python,No
100,Python,No